ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind540	22	E	1	no	4.35932	8.51193	23.2647	0.0933429	-0.854913	0.132526	-0.761177	-0.392991	0.717741
Ind541	22	E	1	no	0.485741	0.752711	3.00692	0.767632	-1.06382	0.422492	0.458023	-0.402167	-1.2202
Ind542	22	E	1	no	0.333707	0.65397	1.60445	1.41065	-0.20315	0.757303	0.194591	-0.27487	-2.15296
Ind543	22	E	1	no	0.191854	0.200754	0.564921	1.78681	1.42255	0.0206901	0.776151	-0.804933	-1.49083
Ind544	22	S	0	96.7632	116.477	122.871	122.898	-0.156132	-0.607342	1.16289	-0.987764	0.675345	0.187127
Ind545	22	S	0	8.71671	11.5194	13.8698	42.2175	-2.05449	0.142023	-0.0544058	0.120409	0.257134	0.344528
Ind546	22	S	0	5.09252	7.20521	9.9399	13.2639	-0.184812	2.50963	0.74082	0.871557	-0.851214	-0.0399292
Ind547	22	S	0	9.60848	14.1955	18.6384	25.3965	-0.0898366	-0.964548	-0.585076	0.564949	-0.457548	0.588874
Ind548	22	S	0	no	no	no	no	1.21435	-0.590192	-1.12482	-1.18997	-1.09343	1.00722
Ind549	22	S	0	37.2182	38.6198	40.3824	42.7819	2.14687	-0.947381	1.1249	-0.78431	0.125073	-0.824116
Ind550	22	S	0	0.307026	5.72236	17.9959	23.6289	-0.145035	-0.389251	0.68301	1.70985	0.459208	1.16577
Ind551	22	S	0	18.7449	94.3627	115.138	115.397	1.88301	-0.593029	2.03574	-0.347822	0.71164	1.55151
Ind552	22	S	0	52.8967	53.2976	58.1276	59.7214	-0.330689	-0.285235	0.111882	-0.941493	0.185187	-1.36627
Ind553	22	S	0	1.58009	37.9328	52.0272	99.1791	0.307165	-0.799301	1.19914	-0.657527	1.02292	1.70222
Ind554	22	S	0	no	no	no	no	0.018122	0.21732	-0.223062	-1.70246	0.145293	-0.336684
Ind555	22	S	0	1.33238	6.09429	9.35257	11.4027	-1.14976	1.00579	-1.3371	0.475115	-0.214027	0.18715
Ind556	22	S	0	24.9398	31.8234	34.2725	41.2211	-0.192087	0.9091	0.0125655	1.35945	-0.117657	-0.529545
Ind557	22	S	0	82.5328	86.999	119.485	129.318	0.970871	-0.311755	-0.0951776	0.827901	-0.0959289	0.994879
Ind558	22	S	0	8.57061	8.91846	8.9487	10.1537	1.16518	0.0613519	-0.456477	0.51909	-0.549826	-1.16674
Ind559	22	S	0	no	no	no	no	-1.2261	1.98643	0.0291434	-1.01568	1.54683	-0.700418
Ind560	22	S	0	no	no	no	no	-1.35026	-1.88042	-1.23175	-1.64143	0.928128	0.477961
Ind561	22	S	0	88.5053	89.0247	94.1687	101.625	-0.646122	1.36001	-0.430295	-0.0339587	0.814889	-0.766412
Ind562	22	S	0	11.5264	12.2748	23.2838	28.2089	-0.445881	0.247141	0.330511	-0.11057	0.582094	-0.183625
Ind563	22	S	0	42.6448	44.7994	46.6367	52.8065	-1.18271	-0.380878	-0.0193559	0.0966869	1.69105	-1.71663
Ind564	23	E	1	no	1.04492	1.30304	1.47047	0.543257	0.418923	1.35122	0.406099	-0.577162	-0.949295
Ind565	23	E	1	no	0.0508515	2.16028	2.88425	1.67503	0.0483727	-0.639816	-0.679125	-1.08247	-0.0631493
Ind566	23	E	1	no	1.28256	2.54574	3.00253	1.91524	-0.517779	0.085651	0.300946	-0.453982	-1.25457
Ind567	23	E	1	no	0.180968	1.57248	1.59334	0.68168	1.07065	1.31102	0.293489	-0.324482	-0.613258
Ind568	23	E	1	no	0.831095	1.46901	8.27562	2.4526	-1.20273	0.663071	-0.299908	-0.624301	0.0439549
Ind569	23	S	0	no	no	no	no	-2.21641	-0.55292	-2.86597	-0.131962	0.598253	-0.0106032
Ind570	23	S	0	no	no	no	no	0.254968	-1.0776	-2.64811	-0.810291	0.626397	1.37576
Ind571	23	S	0	no	no	no	no	0.596384	0.56953	-0.868669	-1.04667	-0.00784277	-0.0705074
Ind572	23	S	0	26.0538	26.1556	26.2154	26.5283	1.36015	0.512733	-0.642686	-0.210114	-0.50025	-2.82076
Ind573	23	S	0	no	no	no	no	-0.823068	-1.15954	-1.91409	0.379618	0.188335	0.737648
Ind574	23	S	0	0.529856	4.42579	7.57702	10.986	2.73642	-0.64064	1.41265	-0.369779	-0.822083	0.827393
Ind575	23	S	0	1.10171	3.03007	10.7285	30.5507	-0.593367	-0.179605	1.2997	-0.0649785	-0.237824	0.567884
Ind576	23	S	0	1.51703	1.81524	1.90237	1.98349	0.474155	-0.858647	1.30335	-0.591046	-0.716226	-0.747166
Ind577	23	S	0	no	no	no	no	1.80236	-0.556109	-0.04294	-0.501432	-1.61308	-0.262212
Ind578	23	S	0	2.57299	3.35508	4.18953	4.81967	0.0608307	1.86367	-0.239985	1.12232	-0.833959	-0.534773
Ind579	23	S	0	no	no	no	no	-0.210517	-0.352677	1.54338	-1.72005	0.658056	0.0847181
Ind580	23	S	0	6.79263	42.9162	60.3509	64.7688	-1.68084	1.08588	1.13732	-0.844466	1.07001	0.475019
Ind581	23	S	0	0.560306	1.72819	6.07346	27.4719	-0.542405	0.427626	1.69352	0.580219	1.12994	-0.421308
Ind582	23	S	0	0.753451	3.25783	5.82972	8.11112	-1.61951	-0.927371	2.05598	0.309285	1.27438	-0.797334
Ind583	23	S	0	no	no	no	no	-0.752235	-0.469455	-0.0487304	-0.249939	-0.31303	2.00058
Ind584	23	S	0	no	no	no	no	0.130609	-0.883413	0.51061	-0.798508	-0.826266	-0.150313
